name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Ahmet Akdilek,Cycling - Road,24,178,67,Turkey,M,0,0,0,0
Taha Akgul,Wrestling,21,192,120,Turkey,M,0,0,0,0
Habibollah Jomeh Akhlaghi,Wrestling,27,179,84,Islamic Republic of Iran,M,0,0,0,0
Artur Akhmatkhuzin,Fencing,24,182,74,Russian Federation,M,0,0,0,0
Esther Akihary,Athletics,25,166,56,Netherlands,F,0,0,0,0
Ozge Akin-Gurler,Athletics,27,,,Turkey,F,0,0,0,0
Foluke Akinradewo,Volleyball,24,191,79,United States of America,F,0,0,0,0
Jonathan Akinyemi,Canoe Slalom,23,183,79,Nigeria,M,0,0,0,0
Khadzhimurat Akkaev,Weightlifting,27,178,105,Russian Federation,M,0,0,0,0
Malika Akkaoui,Athletics,24,160,49,Morocco,F,0,0,0,0
Adnan Taess Akkar,Athletics,32,165,78,Iraq,M,0,0,0,0
Youssef Akrout,Sailing,21,180,78,Tunisia,M,0,0,0,0
Chie Akutsu,Hockey,27,155,51,Japan,F,0,0,0,0
Noah Akwu,Athletics,21,160,74,Nigeria,M,0,0,0,0
Ahmed Ali Al Abri,Football,22,171,72,United Arab Emirates,M,0,0,0,0
Noor Amer Al Ameri,Shooting,18,,,Iraq,F,0,0,0,0
Omar Abdulrahman Al Amoudi,Football,20,168,62,United Arab Emirates,M,0,0,0,0
Abdulaziz Hussain Al Balooshi,Football,21,178,66,United Arab Emirates,M,0,0,0,0
Mubarak Al Besher,Swimming,24,,,United Arab Emirates,M,0,0,0,0
Ramzy Al Duhami,Equestrian,40,,,Saudi Arabia,M,0,0,0,0
Rashed Eisa Al Falasi,Football,21,176,65,United Arab Emirates,M,0,0,0,0
Habib Fardan Al Fardan,Football,21,179,71,United Arab Emirates,M,0,0,0,0
Bahaa Al Farra,Athletics,21,175,65,Palestine,M,0,0,0,0
Ali Mabkhout Al Hajeri,Football,21,176,71,United Arab Emirates,M,0,0,0,0
Bahya Mansour Al Hamad,Shooting,20,166,69,Qatar,F,0,0,0,0
Amer Abdulrahman Al Hammadi,Football,23,168,68,United Arab Emirates,M,0,0,0,0
Ismail Al Hammadi,Football,24,173,68,United Arab Emirates,M,0,0,0,0
Ahmed Al Hatmi,Shooting,27,170,70,Oman,M,0,0,0,0
Ismaeil Matar Al Jneibi,Football,29,169,68,United Arab Emirates,M,0,0,0,0
Ahmed Khalil Al Junaibi,Football,21,178,75,United Arab Emirates,M,0,0,0,0
Dawoud Sulaiman Al Quiwaitaei,Football,22,181,80,United Arab Emirates,M,0,0,0,0
Hrh Prince Abdullah Al Saud,Equestrian,27,,,Saudi Arabia,M,0,0,0,0
Ali Ahmed Al-Amri,Athletics,27,,,Saudi Arabia,M,0,0,0,0
Rashid Al-Athba,Shooting,31,180,104,Qatar,M,0,0,0,0
Nasser Al-Attiya,Shooting,41,178,70,Qatar,M,0,0,1,1
Mohammad Al-Azemi,Athletics,30,187,65,Kuwait,M,0,0,0,0
Mohanad Ahmed Dheyaa Al-Azzawi,Swimming,15,173,65,Iraq,M,0,0,0,0
Sultan Mubarak Al-Dawoodi,Athletics,35,,,Saudi Arabia,M,0,0,0,0
Mostafa Al-Gamel,Athletics,23,191,96,Egypt,M,0,0,0,0
Nabil Mohammed Al-Garbi,Athletics,18,175,65,Yemen,M,0,0,0,0
Mohamad Al-Garni,Athletics,20,170,55,Qatar,M,0,0,0,0
Shinoona Salah Al-Habsi,Athletics,19,162,60,Oman,F,0,0,0,0
Barakat Mubarak Al-Harthi,Athletics,24,171,67,Oman,M,0,0,0,0
Safaa Al-Jumaili,Weightlifting,22,175,83,Iraq,M,0,0,0,0
Hamdan Al-Kamali,Football,23,183,74,United Arab Emirates,M,0,0,0,0
Tameem Mohammed Ahmed Al-Kubati,Taekwondo,23,168,,Yemen,M,0,0,0,0
Noor Hussain Al-Malki,Athletics,17,155,43,Qatar,F,0,0,0,0
Rand Al-Mashhadani,Archery,17,160,50,Iraq,F,0,0,0,0
Ahmed Mohamed Al-Merjabi,Athletics,21,170,65,Oman,M,0,0,0,0
Ahmad Kh A Al-Molad,Athletics,24,,,Saudi Arabia,M,0,0,0,0
Moukheld Al-Outaibi,Athletics,36,,,Saudi Arabia,M,0,0,0,0
Fawaz Al-Shammari,Athletics,35,,,Kuwait,M,0,0,0,0
Majed Al-Tamimi,Shooting,40,,,Saudi Arabia,M,0,0,0,0
Ali Mohamed Al-Zinkawi,Athletics,28,195,110,Kuwait,M,0,0,0,0
Mahmoud Alaa Eldin,Football,21,189,84,Egypt,M,0,0,0,0
Marina Alabau Neira,Sailing,26,164,55,Spain,F,0,0,0,0
Danielle Alakija,Athletics,16,182,71,Fiji,F,0,0,0,0
Ali Salem Ahmed Faraj Alameri,Football,23,175,73,United Arab Emirates,M,0,0,0,0
Yenew Alamirew,Athletics,22,178,57,Ethiopia,M,0,0,0,0
Noshad Alamiyan,Table Tennis,20,170,65,Islamic Republic of Iran,M,0,0,0,0
Mariem Alaoui Selsouli,Athletics,28,158,42,Morocco,F,0,0,0,0
Francisco Roman Alarcon Suarez,Football,20,176,75,Spain,M,0,0,0,0
Dhaher Alaryani,Shooting,39,,,United Arab Emirates,M,0,0,0,0
Yousef Alaskari,Swimming,18,175,65,Kuwait,M,0,0,0,0
Janice Alatoa,Athletics,23,166,55,Vanuatu,F,0,0,0,0
Jordi Alba,Football,23,170,66,Spain,M,0,0,0,0
Azad Albarazi,Swimming,24,205,110,Syrian Arab Republic,M,0,0,0,0
Michael Albasini,Cycling - Road,31,172,67,Switzerland,M,0,0,0,0
Ruslan Albegov,Weightlifting,24,192,156,Russian Federation,M,0,0,0,0
Isil Alben,Basketball,26,172,62,Turkey,F,0,0,0,0
Samantha Albert,Equestrian,41,165,64,Jamaica,F,0,0,0,0
Nely Alberto Francisca,Handball,29,178,81,Spain,F,0,0,0,0
Emiliano Albin,Football,23,176,76,Uruguay,M,0,0,0,0
Nicoleta Albu,Rowing,23,183,76,Romania,F,0,0,0,0
Dailenys Alcantara,Athletics,20,,,Cuba,F,0,0,0,0
Arnold Alcolea,Cycling - Road,29,,,Cuba,M,0,0,0,0
Kyle Alcorn,Athletics,27,185,74,United States of America,M,0,0,0,0
Yamile Aldama,Athletics,39,172,62,Great Britain,F,0,0,0,0
Andrea Aldana Bennett,Sailing,23,172,68,Guatemala,F,0,0,0,0
Ibragim Aldatov,Wrestling,28,178,87,Ukraine,M,0,0,0,0
Fehaid Aldeehani,Shooting,45,180,100,Kuwait,M,0,0,0,0
Humaid Alderei,Judo,21,,65,United Arab Emirates,M,0,0,0,0
David Alegre,Hockey,27,184,75,Spain,M,0,0,0,0
Ramon Alegre,Hockey,31,171,71,Spain,M,0,0,0,0
Jannet Alegria Pena,Taekwondo,24,154,,Mexico,F,0,0,0,0
Jo Aleh,Sailing,26,171,60,New Zealand,F,0,0,0,0
Eric Alejandro,Athletics,26,,83,Puerto Rico,M,0,0,0,0
Virgilijus Alekna,Athletics,40,199,135,Lithuania,M,0,0,0,0
Aleksandar Aleksandrov,Boxing,27,164,,Bulgaria,M,0,0,0,0
Aleksandar Aleksandrov,Rowing,22,189,94,Azerbaijan,M,0,0,0,0
Dmitrii Aleksandrov,Swimming,19,185,75,Kyrgyzstan,M,0,0,0,0
Artur Aleksanyan,Wrestling,20,185,96,Armenia,M,0,0,0,0
Sandra Aleksejeva,Cycling - BMX,21,164,62,Latvia,F,0,0,0,0
Denis Alekseyev,Athletics,24,186,75,Russian Federation,M,0,0,0,0
Aleksandar Aleksic,Canoe Sprint,20,188,89,Serbia,M,0,0,0,0
Milan Aleksic,Water Polo,26,197,100,Serbia,M,0,0,0,0
Todor Aleksiev,Volleyball,29,200,96,Bulgaria,M,0,0,0,0
Ilya Aleksievich,Football,21,173,66,Belarus,M,0,0,0,0
Octavio Alesi Gonzalez,Swimming,25,175,75,Venezuela,M,0,0,0,0
Ayanna Alexander,Athletics,30,171,60,Trinidad and Tobago,F,0,0,0,0
Kineke Alexander,Athletics,26,178,65,St Vincent and the Grenadines,F,0,0,0,0
Dmitriy Alexanin,Fencing,20,184,82,Kazakhstan,M,0,0,0,0
Yevgeniy Alexeyev,Canoe Sprint,34,185,85,Kazakhstan,M,0,0,0,0
Alin Alexuc-Ciurariu,Wrestling,22,191,96,Romania,M,0,0,0,0
Rafael Alfaro,Swimming,20,185,80,El Salvador,M,0,0,0,0
Sara Alflaij,Swimming,17,170,72,Bahrain,F,0,0,0,0
Linda Algotsson,Equestrian,40,158,53,Sweden,F,0,0,0,0
Sara Algotsson Ostholt,Equestrian,37,162,55,Sweden,F,0,1,0,1
Hussain Jamaan Alhamdah,Athletics,29,,,Saudi Arabia,M,0,0,0,0
Ibrahem Alhasan,Table Tennis,25,174,85,Kuwait,M,0,0,0,0
Annabel Laure Ali,Wrestling,27,176,72,Cameroon,F,0,0,0,0
Belal Mansoor Ali,Athletics,23,167,61,Bahrain,M,0,0,0,0
Kame Ali,Athletics,27,190,83,Madagascar,M,0,0,0,0
Lahoussine Ali,Fencing,37,176,68,Morocco,M,0,0,0,0
Liaqat Ali,Athletics,28,,,Pakistan,M,0,0,0,0
Zourah Ali,Athletics,17,,,Djibouti,F,0,0,0,0
Khalid Alibaba,Swimming,15,165,60,Bahrain,M,0,0,0,0
Mirko Alilovic,Handball,26,200,110,Croatia,M,0,0,0,0
Elmir Alimzhanov,Fencing,25,185,72,Kazakhstan,M,0,0,0,0
Alexey Alipov,Shooting,36,175,85,Russian Federation,M,0,0,0,0
Ashraf Aliyev,Wrestling,26,175,74,Azerbaijan,M,0,0,0,0
Hasan Aliyev,Wrestling,22,170,60,Azerbaijan,M,0,0,0,0
Triin Aljand,Swimming,27,179,68,Estonia,F,0,0,0,0
Abdullah Abdulaziz Aljoud,Athletics,37,,,Saudi Arabia,M,0,0,0,0
Jasmine Alkhaldi,Swimming,29,165,55,Philippines,F,0,0,0,0
Agnese Allegrini,Badminton,30,162,57,Italy,F,0,0,0,0
Dominique Allen,Basketball,22,188,86,Great Britain,F,0,0,0,0
Elena Allen,Shooting,40,169,67,Great Britain,F,0,0,0,0
Joe Allen,Football,22,170,65,Great Britain,M,0,0,0,0
Sophie Allen,Swimming,20,170,65,Great Britain,F,0,0,0,0
Ade Alleyne-Forte,Athletics,23,180,73,Trinidad and Tobago,M,0,0,0,0
Andrique Allisop,Boxing,19,171,,Seychelles,M,0,0,0,0
Bradley Ally,Swimming,25,183,73,Barbados,M,0,0,0,0
Miguel Angel Almachi,Athletics,27,169,55,Ecuador,M,0,0,0,0
Nicolas Almagro,Tennis,26,183,84,Spain,M,0,0,0,0
Juma Almaktoum,Shooting,27,,,United Arab Emirates,M,0,0,0,0
Saeed Almaktoum,Shooting,35,,,United Arab Emirates,M,0,0,0,0
Rose Mary Almanza,Athletics,20,,,Cuba,F,0,0,0,0
Ihab Almatbouli,Boxing,26,,,Jordan,M,0,0,0,0
Abdelaziz Sanqour Almazam,Football,23,182,63,United Arab Emirates,M,0,0,0,0
Carlos Almeida,Swimming,23,182,87,Portugal,M,0,0,0,0
Joao Carlos Almeida,Athletics,24,185,88,Portugal,M,0,0,0,0
Kaio Almeida,Swimming,27,174,74,Brazil,M,0,0,0,0
Nair Almeida,Handball,28,180,64,Angola,F,0,0,0,0
Manuel Almeida Campos,Gymnastics - Artistic,31,163,,Portugal,M,0,0,0,0
Johanna Almgren,Football,28,169,62,Sweden,F,0,0,0,0
Ghfran Almouhamad,Athletics,23,176,72,Syrian Arab Republic,F,0,0,0,0
Misha Aloian,Boxing,23,164,,Russian Federation,M,0,0,0,0
Jessica Alonso Bernardo,Handball,28,172,65,Spain,F,0,0,0,0
Jonathan Alonso Flete,Boxing,21,175,,Spain,M,0,0,0,0
Kamel Alouini,Handball,24,187,86,Tunisia,M,0,0,0,0
Anthony Alozie,Athletics,25,171,79,Australia,M,0,0,0,0
Abbas Alqaisoum,Weightlifting,31,,94,Saudi Arabia,M,0,0,0,0
Azza Alqasmi,Shooting,27,,,Bahrain,F,0,0,0,0
Abdullah Alrashidi,Shooting,48,180,95,Kuwait,M,0,0,0,0
Talal Alrashidi,Shooting,19,176,70,Kuwait,M,0,0,0,0
